coefficient_name,value,constrain
sr3p_ASC_no_auto_escort,-7.421368599,F
sr3p_ASC_no_auto_othdiscr,28.894943237304688,F
sr3p_ASC_no_auto_othmaint,1.0649608373641968,F
sr3p_ASC_no_auto_school,-13.94913483,F
sr3p_ASC_no_auto_shopping,4.336791038513184,F
sr3p_ASC_no_auto_social,18.65226936340332,F
sr3p_ASC_no_auto_univ,-11.41973877,F
sr3p_ASC_no_auto_work,-18.43250656,F
sr3p_ASC_no_auto_atwork,0.5826626,F
sr3p_ASC_auto_deficient_eatout,-9.155963898,F
sr3p_ASC_auto_deficient_escort,2.151855469,F
sr3p_ASC_auto_deficient_othdiscr,34.59121322631836,F
sr3p_ASC_auto_deficient_othmaint,-12.70749569,F
sr3p_ASC_auto_deficient_school,-5.616947651,F
sr3p_ASC_auto_deficient_shopping,-5.249391556,F
sr3p_ASC_auto_deficient_social,-4.664608955,F
sr3p_ASC_auto_deficient_univ,-13.93438721,F
sr3p_ASC_auto_deficient_work,9.213142395019531,F
sr3p_ASC_auto_deficient_atwork,-2.514658,F
sr3p_ASC_auto_sufficient_eatout,0.5884100198745728,F
sr3p_ASC_auto_sufficient_escort,-0.467015147,F
sr3p_ASC_auto_sufficient_othdiscr,-12.46940613,F
sr3p_ASC_auto_sufficient_othmaint,-0.136629149,F
sr3p_ASC_auto_sufficient_school,1.8787201642990112,F
sr3p_ASC_auto_sufficient_shopping,0.22305332124233246,F
sr3p_ASC_auto_sufficient_social,0.7751163840293884,F
sr3p_ASC_auto_sufficient_univ,0.25643718242645264,F
sr3p_ASC_auto_sufficient_work,-3.314520597,F
sr3p_ASC_auto_sufficient_atwork,-1.652174,F
walk_transit_ASC_no_auto_eatout,-18.05977249,F
walk_transit_ASC_no_auto_escort,-2.911773205,F
walk_transit_ASC_no_auto_othdiscr,-21.38959694,F
walk_transit_ASC_no_auto_othmaint,6.362695217132568,F
walk_transit_ASC_no_auto_school,-2.142196178,F
walk_transit_ASC_no_auto_shopping,-7.829512119,F
walk_transit_ASC_no_auto_social,-17.54115105,F
walk_transit_ASC_no_auto_univ,21.484037399291992,F
walk_transit_ASC_no_auto_work,29.476585388183594,F
walk_transit_ASC_no_auto_atwork,2.7041876,F
walk_transit_ASC_auto_deficient_eatout,-13.24145222,F
walk_transit_ASC_auto_deficient_escort,-18.75063705,F
walk_transit_ASC_auto_deficient_othdiscr,-14.83991432,F
walk_transit_ASC_auto_deficient_othmaint,-17.41578484,F
walk_transit_ASC_auto_deficient_school,11.031272888183594,F
walk_transit_ASC_auto_deficient_shopping,-9.214422226,F
walk_transit_ASC_auto_deficient_social,-9.04811573,F
walk_transit_ASC_auto_deficient_univ,-1.85873878,F
walk_transit_ASC_auto_deficient_work,-6.372811317,F
walk_transit_ASC_auto_deficient_atwork,-2.9988291,F
